"ID","SO_HOP_DONG","NGAY_KY","NGAY_HIEU_LUC","NGAY_KET_THUC","SO_PHU_LUC","ISACTIVE","GHI_CHU"
20627,"991/HĐ",30-06-2020,01-07-2020,30-06-2021,"05/PLHD-PITC/2020",1,""
20056,"991/HĐ",26-07-2019,26-07-2019,30-06-2020,"04",1,""
13210,"991/HĐ",14-09-2012,01-09-2012,,"PL001",1,""
13052,"991/HĐ",31-12-2008,31-12-2008,,"2648/PLHĐ",1,"Người liên hệ, địa chỉ khi phối hợp xử lý trạm"
13049,"991/HĐ",30-07-2008,30-07-2008,16-08-2011,"000000",1,"Phu luc dau tien cua HD"
13051,"991/HĐ",29-10-2009,29-10-2009,,"1089/PLHĐ",1,"PL giảm giá đối với những trạm không xây dựng phòng máy nổ"
13050,"991/HĐ",17-08-2011,17-08-2011,,"011/2011/PLHĐ",1,"Tăng giá thuê với trạm lắp 3G"
21247,"991/HĐ",08-06-2021,01-01-2021,31-12-2021,"06/PLHĐ-PITC/2021",2,""
19844,"991/HĐ",01-03-2019,01-01-2019,30-06-2019,"03/PLHĐ-PITC/2019",1,"PLHĐ Gia hạn thời gian thuê và thay đổi giá thuê"
20748,"1907/MLMN-VITECHCOM",05-02-2020,19-12-2019,31-12-2020,"PL01",2,""
21067,"1927/MLMN-TDIS",15-12-2020,01-01-2021,31-12-2021,"PL02-1927/MLMN-TDIS",2,""
20396,"20/MLMN-TEDICO",10-10-2019,01-01-2020,31-12-2020,"PL01-20/MLMN-TEDICO",2,""
20633,"427/HĐ",19-06-2020,03-09-2019,31-12-2020,"427-196/PLHĐ-MIDC/2020",2,""
20634,"437/HĐ - VMS4",19-06-2020,01-07-2019,31-12-2020,"437-PLHĐ/MIDC-2020",2,""
20635,"438/HĐ - VMS4",19-06-2020,01-07-2019,31-12-2020,"438/PLHĐ-MIDC-2020",2,""
20629,"672/HĐ - VMS4",19-06-2020,01-06-2019,31-12-2020,"672-196/PLHĐ-MIDC/2020",2,""
20691,"138/TTMLMN/ĐVTT",01-05-2020,01-05-2020,31-10-2020,"138/TTMLMN/ĐVTT",2,"PL 6 THÁNG"
12807,"2199/HĐ",01-03-2011,01-03-2011,,"59/2011/tc-plhd",1,"tăng tiền 3G 2 trạm 07BTH18,06TDU04 TỪ NGÀY 01/02/2011"
6061,"2199/HĐ",10-07-2009,10-07-2009,15-10-2010,"000000",1,""
12783,"2199/HĐ",16-10-2010,16-10-2010,15-10-2020,"974A",1,""
13017,"2199/HĐ",12-03-2012,05-01-2012,,"0203-2012/BTS/TC-PLHĐ",1,""
20009,"2199/HĐ",16-07-2019,16-07-2019,,"0119/MLMN-GTI",2,""
19370,"426/HĐ",15-09-2017,01-09-2017,05-12-2016,"426-1",2,"Giảm giá thuê 2 trạm: 08LAN167, 08LAN214"
18830,"2074/VMS.C6/ĐT-XD",31-12-2017,01-01-2018,30-06-2020,"2074/VMS.C6/ĐT-XD_PL04",2,""
20218,"900/HĐ",19-07-2019,01-07-2019,30-06-2020,"107/PLHĐ-55/2019",1,""
20217,"900/HĐ",10-07-2019,10-07-2019,31-12-2019,"PL04-900/HĐ",1,""
15225,"900/HĐ",01-09-2014,01-09-2014,08-07-2018,"900_1/PLHĐ",1,"PL Hủy tram 07TPH16 Mã ID HTP070"
20612,"900/HĐ",14-04-2020,01-01-2020,30-06-2020,"1909/PLHD-55",1,"HỦY TRẠM : 07Q1210"
13285,"900/HĐ",12-10-2011,17-10-2012,,"192/PLHD",1,"Bổ sung phương thức thanh toán"
13200,"900/HĐ",13-09-2012,01-09-2012,,"PL001",1,""
13091,"900/HĐ",26-10-2009,26-10-2009,,"1073/PLHĐ",1,"Điều chỉnh số lượng trạm và giá thuê trạm"
13090,"900/HĐ",08-07-2008,08-07-2008,25-10-2009,"000000",1,"Phu luc dau tien cua HD"
21531,"900/HĐ",20-05-2021,01-07-2021,30-06-2026,"PL 203-PLHĐ-55/2021",2,""
20116,"991/HĐ",26-07-2019,26-07-2019,30-06-2020,"04/PLHĐ-PITC/2019",1,""
13251,"991/HĐ",30-07-2008,30-07-2008,30-07-2018,"000000",1,"Phu luc dau tien cua HD"
19823,"991/HĐ",01-03-2019,01-01-2019,30-06-2019,"03/PLHĐ-PITC/2019",1,"PLHĐ gia hạn thời gian thêu và thay đổi giá thuê 2019"
20628,"991/HĐ",30-06-2020,01-07-2020,30-06-2021,"05/PLHĐ-PITC/2020",2,""
12416,"394/HĐKT-VMSC2",25-06-2010,25-06-2010,25-06-2020,"000000",1,"Phu luc dau tien cua HD"
13205,"394/HĐKT-VMSC2",13-09-2012,01-09-2012,,"PL001",1,""
17807,"394/HĐKT-VMSC2",01-01-2017,01-01-2017,25-06-2020,"Số : 0201/PLHĐ",2,"Điều chỉnh giảm giá thuê 7 trạm dùng chung CSHT 394/HĐKT - VMSC2"
13060,"394/HĐKT-VMSC2",25-06-2010,25-06-2010,11-04-2012,"000000",1,"Phu luc dau tien cua HD"
13062,"394/HĐKT-VMSC2",31-12-2010,31-12-2010,,"460/VMSC2-PLHĐ",1,"Chuyen chu thể hợp đồng"
13063,"394/HĐKT-VMSC2",30-11-2010,30-11-2010,,"639/VMSC2-PLHĐ",1,"Điều chỉnh giá thuê( giảm giá thuê đối với trạm ko có hàng rào)"
13061,"394/HĐKT-VMSC2",12-04-2012,12-04-2012,,"175/VMSC2-PLHĐ",1,"Giá thuê từng trạm, địa điểm và thông tin liên quan"
17787,"394/HĐKT-VMSC2",01-01-2017,01-01-2017,,"Số:0201/PLHĐ",1,"Điều chỉnh giảm giá thuê 7 trạm dùng chung CSHT của HĐ 394/HĐKT - VMSC2"
20057,"394/HĐKT-VMSC2",04-10-2019,04-10-2019,,"0410",2,""
13213,"395/HĐKT-VMSC2",14-09-2012,01-09-2012,,"PL001",2,""
19030,"395/HĐKT-VMSC2",17-09-2018,17-09-2018,25-06-2020,"Số:02/PLHĐ",2,"V/v: về việc giảm giá thuê 10% hợp đồng 395HĐKT-VMS2"
18409,"396/HĐKT-VSC2",05-06-2017,01-01-2017,,"Số: 01/PLHĐ",2,"Điều chỉnh giá thuê 2 trạm 08BCH38 và 08BCH50 dùng chung CSHT."
13059,"396/HĐKT-VSC2",25-06-2010,25-06-2010,25-06-2020,"000000",1,"Phu luc dau tien cua HD"
17469,"396/HĐKT-VSC2",06-06-2016,06-06-2016,25-06-2020,"PLHĐ -396/HĐKT",1,"Điều chỉnh giảm giá thuê 10 trạm BTS cho dùng chung CSHT"
13970,"397/HĐKT-VMSC2",01-01-2013,01-01-2013,25-06-2020,"02/plhd",2,""
19618,"14/HĐ-VMS4",15-01-2010,01-12-2018,25-05-2020,"14/HĐ",2,"Trả lại giá hợp đồng cũ"
18893,"593A-16/HĐ-MLMN-ĐVTĐN",15-04-2018,15-04-2018,14-04-2020,"01",2,""
19619,"13/HĐ-VMS4",15-01-2010,01-12-2018,15-03-2020,"13/HĐ",2,"Trả lại giá hợp đồng cũ"
19850,"12/HĐ-VMS4",01-04-2019,01-04-2019,10-03-2020,"12/PLHĐ",2,"Trả giá về HĐ gốc"
12680,"396/HĐKT-VMSC2",01-03-2011,01-03-2011,,"396",1,""
17468,"396/HĐKT-VMSC2",06-06-2016,06-06-2016,10-03-2020,"PLHD 396/HĐKT",2,"Điều chỉnh giảm giá thuê 10 trạm BTS dùng chung CSHT"
12420,"396/HĐKT-VMSC2",25-06-2010,25-06-2010,28-02-2011,"000000",1,"Phu luc dau tien cua HD"
12762,"396/HĐKT-VMSC2",01-01-2011,01-01-2011,10-03-2020,"397",1,""
20638,"11/HĐ-VMS4",19-06-2020,05-03-2020,31-12-2020,"11/PLHĐ-MIDC-2020",2,""
18429,"563/HĐ",31-07-2017,01-07-2017,,"Số: 02/PLHĐ",2,"Thanh lý trạm 08DN111 và thay đổi trạm 08DN115"
21407,"01/2018/MLMN-GTI",16-10-2019,01-01-2021,31-12-2022,"PL01-01/2018/MLMN-GTI",2,""
21996,"01/2018/MLMN-Mts.,Jsc",10-06-2021,01-01-2022,31-12-2026,"PL02-01/2018/MLMN-Mts.,Jsc",2,""
20506,"01/MLMN-MIS",15-10-2019,01-01-2020,31-12-2021,"PL02-01/MLMN-MIS",2,""
20552,"02/2018/MLMN-PTHTVT-CNTT",21-05-2020,01-01-2020,,"PL02 - 02/HĐ.2018/MLMN-PTHTVT-CNTT",2,""
19254,"1041/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19234,"1042/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19235,"1043/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19255,"1044/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19236,"1045/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19237,"1046/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19238,"1047/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19256,"1048/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19257,"1049/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19239,"1050/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
